country_code,country_name,AG.LND.ARBL.HA.PC,NE.GDI.FTOT.CD,NV.IND.TOTL.ZS,NY.GDP.PCAP.CD,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SP.POP.TOTL
BRN,Brunei Darussalam,0.00903587241348152,5186602151.1209,62.5153210994416,30426.5730656528,,81.121,442680.0
BTN,Bhutan,0.122904092967794,1252934309.40525,33.0939030506784,3576.87987100503,4.50982783818663,88.348,764824.0
BWA,Botswana,0.111488313237565,4825368489.58805,31.947105419301,7172.08956480028,8.3989966033446,77.116,2332083.0
CAF,Central African Republic,0.364025908128355,319603726.069576,20.5119712162628,449.228467602439,1.76792074637361,,4944703.0
CAN,Canada,1.02736699062522,393732750480.922,24.0774078769413,46352.8693445211,4.77293014526367,74.925,37618495.0
CHE,Switzerland,0.0465051170340794,192044358129.355,24.7211591296094,84121.9310304414,5.01438999176025,81.693,8575280.0
CHI,Channel Islands,,,7.93089515501041,60564.6293993681,,,165639.0
CHL,Chile,0.0728849129356033,68318108353.6462,27.1184422429165,14495.716721687,5.62630987167358,84.128,19197744.0
CHN,China,0.0773881633392411,6151721422590.08,37.7642333162735,10342.9009524335,,,1407745000.0
CIV,Cote d'Ivoire,0.153926698636531,13390902075.4317,21.6420400540965,2141.76836170115,3.4130699634552,76.378,28193009.0
CMR,Cameroon,0.243079154217845,7571982590.61864,23.826878053897,1555.22660476477,3.0473994932468,,25506095.0
COD,"Congo, Dem. Rep.",0.147179951439653,10446328396.3783,34.4712510908167,504.00419142286,,,92947442.0
COG,"Congo, Rep.",0.0979229474593535,3650073052.98766,50.1286715725578,2488.42466724916,3.24716413970868,,5616661.0
COL,Colombia,0.0464037167599533,68705959026.0682,25.993426836769,6472.54544924705,4.51069021224976,74.637,49907985.0
COM,Comoros,0.082636432750471,150012018.983801,8.5310006225517,1510.23218151592,,,786578.0
CPV,Cabo Verde,0.0972565862160185,,13.2851974278212,4380.78117331128,4.16529989242554,69.77,514104.0
CRI,Costa Rica,0.0355920819321247,10470555407.256,19.2336569312753,12884.6859951989,6.73808002471924,79.726,4999553.0
CUB,Cuba,0.259630454618407,11596000000.0,24.5495399680549,9232.26115935183,9.04700486137163,,11202846.0
CUW,Curacao,,,13.2746383749834,19220.6865793075,5.81155632881729,,157441.0
CYM,Cayman Islands,0.00297057644035825,,7.70795298167285,88254.2902486867,1.13670003414154,,67327.0
CYP,Cyprus,0.0749184523471812,4894564501.90087,12.7890118881986,29227.173828125,5.16293001174927,82.879,1286671.0
CZE,Czechia,0.232805684477041,66181120474.441,30.8172927602906,24062.7190013343,4.46737003326416,76.243,10671870.0
DEU,Germany,0.140974635132155,837608739827.45,25.5415743169893,47656.199739747,5.02757978439331,74.372,83092962.0
DJI,Djibouti,0.00183703818008302,920329780.386111,14.6103467336685,2837.16902340932,,,1088709.0
DMA,Dominica,0.0883912787271656,,16.4478298361598,9491.14995962374,5.53449010848999,,67880.0
DNK,Denmark,0.412067097984976,73754989191.1085,20.6402200527554,59404.2663247723,7.27587985992432,77.196,5814422.0
DOM,Dominican Republic,0.08503692339015,22272549065.2494,27.3564369481505,8183.01623600375,4.04276873126053,84.102,10894043.0
DZA,Algeria,0.173948007215505,77136720130.2872,33.5743211841578,4468.45341883656,5.57536563446523,,43294546.0
ECU,Ecuador,0.0570356864043014,22223841000.0,26.6504631266844,6205.05765246766,4.2457799911499,78.169,17340021.0
EGY,"Egypt, Arab Rep.",0.0299293861738583,59823462414.5786,35.8254244102931,2962.98892023003,,,107553158.0
ERI,Eritrea,0.212950212240378,,,,,,3240194.0
ESP,Spain,0.250693768887087,284980148062.745,19.9779055762497,29786.5245689007,4.20255994796753,79.405,47118501.0
EST,Estonia,0.520009827432101,8483306188.92548,22.313384878363,24021.2501413306,5.16415023803711,82.139,1326898.0
ETH,Ethiopia,0.139902938707366,32384501730.3754,24.8223642571985,793.473247210264,4.48086946127054,,115737383.0
FIN,Finland,0.406584606000501,65207151247.0587,24.1466052876512,48358.1807773701,6.45300006866455,73.753,5521606.0
FJI,Fiji,0.0828506753204452,,17.0371781659464,5842.07344577597,5.15273175975853,,914899.0
